,t,fC
16087,7,0.2647058823529412
16088,8,0.27450980392156865
16089,9,0.2647058823529412
16090,10,0.28431372549019607
16091,11,0.24509803921568626
16092,12,0.2549019607843137
16093,13,0.28104575163398693
16094,14,0.2581699346405229
16095,15,0.27450980392156865
16096,16,0.29411764705882354
16097,17,0.31699346405228757
16098,18,0.3104575163398693
16099,19,0.25163398692810457
16100,20,0.2581699346405229
16101,21,0.2679738562091503
16102,22,0.27450980392156865
16103,23,0.24836601307189543
16104,24,0.2679738562091503
16105,25,0.2679738562091503
16106,26,0.27450980392156865
16107,27,0.27450980392156865
16108,28,0.2875816993464052
16109,29,0.28431372549019607
16110,30,0.2679738562091503
16111,31,0.27124183006535946
16112,32,0.2679738562091503
16113,33,0.2973856209150327
16114,34,0.3006535947712418
16115,35,0.26143790849673204
16116,36,0.28431372549019607
16117,37,0.27124183006535946
16118,38,0.27450980392156865
16119,39,0.2679738562091503
16120,40,0.2908496732026144
16121,41,0.26143790849673204
16122,42,0.3235294117647059
16123,43,0.28104575163398693
16124,44,0.27124183006535946
16125,45,0.2908496732026144
16126,46,0.238562091503268
16127,47,0.28104575163398693
16128,48,0.2679738562091503
16129,49,0.2777777777777778
16130,50,0.24836601307189543
16131,51,0.2973856209150327
16132,52,0.2908496732026144
16133,53,0.28104575163398693
16134,54,0.2581699346405229
16135,55,0.27124183006535946
16136,56,0.27124183006535946
16137,57,0.2581699346405229
16138,58,0.27124183006535946
16139,59,0.28104575163398693
16140,60,0.26143790849673204
16141,61,0.27450980392156865
16142,62,0.3006535947712418
16143,63,0.2875816993464052
16144,64,0.26143790849673204
16145,65,0.27124183006535946
16146,66,0.2777777777777778
16147,67,0.2647058823529412
16148,68,0.2581699346405229
16149,69,0.25163398692810457
16150,70,0.2549019607843137
16151,71,0.2875816993464052
16152,72,0.27124183006535946
16153,73,0.2647058823529412
16154,74,0.2875816993464052
16155,75,0.2549019607843137
16156,76,0.24836601307189543
16157,77,0.23202614379084968
16158,78,0.2973856209150327
16159,79,0.2777777777777778
16160,80,0.28431372549019607
16161,81,0.27124183006535946
16162,82,0.28104575163398693
16163,83,0.24509803921568626
16164,84,0.2581699346405229
16165,85,0.25163398692810457
16166,86,0.2647058823529412
16167,87,0.2908496732026144
16168,88,0.2777777777777778
16169,89,0.27124183006535946
16170,90,0.27450980392156865
16171,91,0.2875816993464052
16172,92,0.2679738562091503
16173,93,0.25163398692810457
16174,94,0.28104575163398693
16175,95,0.27124183006535946
16176,96,0.2581699346405229
16177,97,0.29411764705882354
16178,98,0.28104575163398693
16179,99,0.3104575163398693
16180,100,0.2679738562091503
16181,101,0.2908496732026144
16182,102,0.28431372549019607
16183,103,0.28431372549019607
16184,104,0.23529411764705882
16185,105,0.24183006535947713
16186,106,0.2581699346405229
16187,107,0.238562091503268
16188,108,0.2777777777777778
16189,109,0.30392156862745096
16190,110,0.24836601307189543
16191,111,0.25163398692810457
16192,112,0.2908496732026144
16193,113,0.28104575163398693
16194,114,0.26143790849673204
16195,115,0.27450980392156865
16196,116,0.2581699346405229
16197,117,0.2777777777777778
16198,118,0.2647058823529412
16199,119,0.24183006535947713
16200,120,0.22549019607843138
16201,121,0.28431372549019607
16202,122,0.2875816993464052
16203,123,0.2647058823529412
16204,124,0.29411764705882354
16205,125,0.2549019607843137
16206,126,0.2647058823529412
16207,127,0.2777777777777778
16208,128,0.3006535947712418
16209,129,0.2908496732026144
16210,130,0.27124183006535946
16211,131,0.24509803921568626
16212,132,0.3235294117647059
16213,133,0.3104575163398693
16214,134,0.22875816993464052
16215,135,0.23529411764705882
16216,136,0.24509803921568626
16217,137,0.28104575163398693
16218,138,0.24509803921568626
16219,139,0.24836601307189543
16220,140,0.22549019607843138
16221,141,0.2581699346405229
16222,142,0.2549019607843137
16223,143,0.3104575163398693
16224,144,0.2679738562091503
16225,145,0.28431372549019607
16226,146,0.2679738562091503
16227,147,0.2908496732026144
16228,148,0.27450980392156865
16229,149,0.2875816993464052
16230,150,0.21568627450980393
16231,151,0.30392156862745096
16232,152,0.27124183006535946
16233,153,0.26143790849673204
16234,154,0.24836601307189543
16235,155,0.2777777777777778
16236,156,0.23202614379084968
16237,157,0.24509803921568626
16238,158,0.2908496732026144
16239,159,0.27124183006535946
16240,160,0.2581699346405229
16241,161,0.2679738562091503
16242,162,0.2679738562091503
16243,163,0.21568627450980393
16244,164,0.25163398692810457
16245,165,0.2875816993464052
16246,166,0.2875816993464052
16247,167,0.26143790849673204
16248,168,0.2875816993464052
16249,169,0.2679738562091503
16250,170,0.2549019607843137
16251,171,0.2647058823529412
16252,172,0.23202614379084968
16253,173,0.2549019607843137
16254,174,0.2549019607843137
16255,175,0.2679738562091503
16256,176,0.2777777777777778
16257,177,0.28431372549019607
16258,178,0.27450980392156865
16259,179,0.2875816993464052
16260,180,0.2679738562091503
16261,181,0.2222222222222222
16262,182,0.28104575163398693
16263,183,0.2908496732026144
16264,184,0.2647058823529412
16265,185,0.27124183006535946
16266,186,0.24836601307189543
16267,187,0.28104575163398693
16268,188,0.238562091503268
16269,189,0.24836601307189543
16270,190,0.2973856209150327
16271,191,0.2549019607843137
16272,192,0.24509803921568626
16273,193,0.2875816993464052
16274,194,0.24183006535947713
16275,195,0.32679738562091504
16276,196,0.28104575163398693
16277,197,0.25163398692810457
16278,198,0.24836601307189543
16279,199,0.24836601307189543
16280,200,0.24183006535947713
16281,0,0.21153846153846154
16282,1,0.23076923076923078
16283,2,0.15705128205128205
16284,3,0.2532051282051282
16285,4,0.2532051282051282
16286,5,0.19230769230769232
16287,6,0.22756410256410256
16288,7,0.2467948717948718
16289,8,0.20192307692307693
16290,9,0.24358974358974358
16291,10,0.21474358974358973
16292,11,0.21153846153846154
16293,12,0.22435897435897437
16294,13,0.1858974358974359
16295,14,0.1955128205128205
16296,15,0.22115384615384615
16297,16,0.21153846153846154
16298,17,0.22435897435897437
16299,18,0.1891025641025641
16300,19,0.22115384615384615
16301,20,0.21474358974358973
16302,21,0.20512820512820512
16303,22,0.22115384615384615
16304,23,0.19230769230769232
16305,24,0.23076923076923078
16306,25,0.20833333333333334
16307,26,0.21474358974358973
16308,27,0.21794871794871795
16309,28,0.21794871794871795
16310,29,0.1891025641025641
16311,30,0.20192307692307693
16312,31,0.1794871794871795
16313,32,0.20512820512820512
16314,33,0.21474358974358973
16315,34,0.20512820512820512
16316,35,0.2564102564102564
16317,36,0.1891025641025641
16318,37,0.1987179487179487
16319,38,0.21474358974358973
16320,39,0.1891025641025641
16321,40,0.22115384615384615
16322,41,0.23076923076923078
16323,42,0.21153846153846154
16324,43,0.22115384615384615
16325,44,0.20512820512820512
16326,45,0.1987179487179487
16327,46,0.20512820512820512
16328,47,0.23397435897435898
16329,48,0.24358974358974358
16330,49,0.21153846153846154
16331,50,0.21153846153846154
16332,51,0.1858974358974359
16333,52,0.2532051282051282
16334,53,0.21794871794871795
16335,54,0.22115384615384615
16336,55,0.19230769230769232
16337,56,0.22435897435897437
16338,57,0.1987179487179487
16339,58,0.1891025641025641
16340,59,0.2564102564102564
16341,60,0.22435897435897437
16342,61,0.2564102564102564
16343,62,0.20833333333333334
16344,63,0.17307692307692307
16345,64,0.2532051282051282
16346,65,0.22115384615384615
16347,66,0.22435897435897437
16348,67,0.22756410256410256
16349,68,0.22115384615384615
16350,69,0.22115384615384615
16351,70,0.22756410256410256
16352,71,0.22435897435897437
16353,72,0.20833333333333334
16354,73,0.1891025641025641
16355,74,0.16666666666666666
16356,75,0.22435897435897437
16357,76,0.21474358974358973
16358,77,0.21794871794871795
16359,78,0.1955128205128205
16360,79,0.1955128205128205
16361,80,0.20192307692307693
16362,81,0.27884615384615385
16363,82,0.21474358974358973
16364,83,0.22756410256410256
16365,84,0.22115384615384615
16366,85,0.22115384615384615
16367,86,0.23717948717948717
16368,87,0.18269230769230768
16369,88,0.21153846153846154
16370,89,0.20192307692307693
16371,90,0.23717948717948717
16372,91,0.24358974358974358
16373,92,0.21794871794871795
16374,93,0.21794871794871795
16375,94,0.23717948717948717
16376,95,0.17307692307692307
16377,96,0.1987179487179487
16378,97,0.21474358974358973
16379,98,0.24358974358974358
16380,99,0.23076923076923078
16381,100,0.1987179487179487
16382,101,0.23397435897435898
16383,102,0.21474358974358973
16384,103,0.23397435897435898
16385,104,0.20833333333333334
16386,105,0.21153846153846154
16387,106,0.21794871794871795
16388,107,0.1987179487179487
16389,108,0.20833333333333334
16390,109,0.22435897435897437
16391,110,0.20512820512820512
16392,111,0.2403846153846154
16393,112,0.23076923076923078
16394,113,0.23717948717948717
16395,114,0.2403846153846154
16396,115,0.2692307692307692
16397,116,0.2403846153846154
16398,117,0.2403846153846154
16399,118,0.1858974358974359
16400,119,0.20512820512820512
16401,120,0.23717948717948717
16402,121,0.21794871794871795
16403,122,0.20192307692307693
16404,123,0.22115384615384615
16405,124,0.1891025641025641
16406,125,0.1955128205128205
16407,126,0.1955128205128205
16408,127,0.2532051282051282
16409,128,0.21153846153846154
16410,129,0.22435897435897437
16411,130,0.1762820512820513
16412,131,0.21153846153846154
16413,132,0.1955128205128205
16414,133,0.18269230769230768
16415,134,0.1955128205128205
16416,135,0.23076923076923078
16417,136,0.20512820512820512
16418,137,0.21474358974358973
16419,138,0.1858974358974359
16420,139,0.22115384615384615
16421,140,0.1762820512820513
16422,141,0.22115384615384615
16423,142,0.2467948717948718
16424,143,0.21153846153846154
16425,144,0.21474358974358973
16426,145,0.21474358974358973
16427,146,0.21794871794871795
16428,147,0.22756410256410256
16429,148,0.23717948717948717
16430,149,0.19230769230769232
16431,150,0.20192307692307693
16432,151,0.1891025641025641
16433,152,0.21474358974358973
16434,153,0.21474358974358973
16435,154,0.2692307692307692
16436,155,0.25
16437,156,0.23397435897435898
16438,157,0.20192307692307693
16439,158,0.2467948717948718
16440,159,0.16346153846153846
16441,160,0.21153846153846154
16442,161,0.23397435897435898
16443,162,0.20833333333333334
16444,163,0.1987179487179487
16445,164,0.1955128205128205
16446,165,0.20512820512820512
16447,166,0.22115384615384615
16448,167,0.1955128205128205
16449,168,0.1955128205128205
16450,169,0.22435897435897437
16451,170,0.21794871794871795
16452,171,0.21153846153846154
16453,172,0.21153846153846154
16454,173,0.20512820512820512
16455,174,0.20833333333333334
16456,175,0.22756410256410256
16457,176,0.2532051282051282
16458,177,0.20512820512820512
16459,178,0.21474358974358973
16460,179,0.22115384615384615
16461,180,0.16346153846153846
16462,181,0.23717948717948717
16463,182,0.22756410256410256
16464,183,0.22756410256410256
16465,184,0.23076923076923078
16466,185,0.21794871794871795
16467,186,0.20512820512820512
16468,187,0.1794871794871795
16469,188,0.19230769230769232
16470,189,0.2724358974358974
16471,190,0.21794871794871795
16472,191,0.22435897435897437
16473,192,0.20192307692307693
16474,193,0.22756410256410256
16475,194,0.20512820512820512
16476,195,0.19230769230769232
16477,196,0.20512820512820512
16478,197,0.2532051282051282
16479,198,0.22115384615384615
16480,199,0.22756410256410256
16481,200,0.21474358974358973
16482,0,0.2070063694267516
16483,1,0.21337579617834396
16484,2,0.18789808917197454
16485,3,0.23885350318471338
16486,4,0.21656050955414013
16487,5,0.2515923566878981
16488,6,0.1910828025477707
16489,7,0.21019108280254778
16490,8,0.2229299363057325
16491,9,0.2515923566878981
16492,10,0.25477707006369427
16493,11,0.21656050955414013
16494,12,0.21337579617834396
16495,13,0.20063694267515925
16496,14,0.21656050955414013
16497,15,0.21656050955414013
16498,16,0.23885350318471338
16499,17,0.2356687898089172
16500,18,0.21337579617834396
16501,19,0.2611464968152866
16502,20,0.21019108280254778
16503,21,0.24522292993630573
16504,22,0.22611464968152867
16505,23,0.22611464968152867
16506,24,0.2197452229299363
16507,25,0.23885350318471338
16508,26,0.21019108280254778
16509,27,0.2356687898089172
16510,28,0.2356687898089172
16511,29,0.21337579617834396
16512,30,0.22611464968152867
16513,31,0.22929936305732485
16514,32,0.2484076433121019
16515,33,0.24203821656050956
16516,34,0.21656050955414013
16517,35,0.2070063694267516
16518,36,0.22929936305732485
16519,37,0.2229299363057325
16520,38,0.21656050955414013
16521,39,0.18471337579617833
16522,40,0.22929936305732485
16523,41,0.2229299363057325
16524,42,0.23885350318471338
16525,43,0.18152866242038215
16526,44,0.2484076433121019
16527,45,0.2070063694267516
16528,46,0.22611464968152867
16529,47,0.2197452229299363
16530,48,0.21337579617834396
16531,49,0.2229299363057325
16532,50,0.267515923566879
16533,51,0.2197452229299363
16534,52,0.2356687898089172
16535,53,0.267515923566879
16536,54,0.2197452229299363
16537,55,0.25796178343949044
16538,56,0.23248407643312102
16539,57,0.24203821656050956
16540,58,0.1910828025477707
16541,59,0.20382165605095542
16542,60,0.2197452229299363
16543,61,0.19745222929936307
16544,62,0.19745222929936307
16545,63,0.2643312101910828
16546,64,0.20063694267515925
16547,65,0.18471337579617833
16548,66,0.2484076433121019
16549,67,0.2611464968152866
16550,68,0.20382165605095542
16551,69,0.21337579617834396
16552,70,0.2070063694267516
16553,71,0.23885350318471338
16554,72,0.19745222929936307
16555,73,0.20063694267515925
16556,74,0.22611464968152867
16557,75,0.25796178343949044
16558,76,0.1910828025477707
16559,77,0.21337579617834396
16560,78,0.22929936305732485
16561,79,0.23885350318471338
16562,80,0.20063694267515925
16563,81,0.2070063694267516
16564,82,0.2356687898089172
16565,83,0.2229299363057325
16566,84,0.18471337579617833
16567,85,0.21656050955414013
16568,86,0.22929936305732485
16569,87,0.2770700636942675
16570,88,0.2197452229299363
16571,89,0.23885350318471338
16572,90,0.21656050955414013
16573,91,0.2229299363057325
16574,92,0.22611464968152867
16575,93,0.2356687898089172
16576,94,0.21656050955414013
16577,95,0.2356687898089172
16578,96,0.21656050955414013
16579,97,0.24203821656050956
16580,98,0.267515923566879
16581,99,0.2197452229299363
16582,100,0.2356687898089172
16583,101,0.25477707006369427
